"id","left_name","right_name","left_odds","right_odds","weight_class","date","fight_id"
5807,"Neil Magny","William Macário",-225,185,"170","2014-10-25",4726
1825,"Raquel Pennington","Macy Chiasson",-135,115,"145","2021-12-18",1226
2620,"Gillian Robertson","Cortney Casey",-120,-110,"125","2020-06-20",2054
3564,"Andre Ewell","Renan Barão",155,-185,"135","2018-09-22",2873
4372,"Belal Muhammad","Randy Brown",130,-150,"170","2017-02-11",3624
5314,"Jared Rosholt","Stefan Struve",115,-135,"265","2015-11-14",4233
6110,"Ramsey Nijem","Beneil Dariush",230,-260,"155","2014-04-11",5020
7140,"Clay Guida","Anthony Pettis",200,-240,"155","2011-06-04",6076
7835,"Drew McFedries","Marvin Eastman",-145,115,"185","2008-06-21",6771
6007,"Kiichi Kunimoto","Daniel Sarafian",400,-475,"170","2014-06-14",4917
1861,"Rafa García","Natan Levy",-115,-105,"155","2021-11-20",1262
2621,"Justin Jaynes","Frank Camacho",230,-300,"155","2020-06-20",2055
3576,"Jan Błachowicz","Nikita Krylov",130,-155,"205","2018-09-15",2885
4384,"Chas Skelly","Chris Gruetzemacher",-350,270,"145","2017-02-04",3636
5324,"Glover Teixeira","Patrick Cummins",-500,350,"205","2015-11-07",4243
6122,"Jussier Formiga","Scott Jorgensen",165,-200,"125","2014-03-23",5032
7150,"Quinton Jackson","Matt Hamill",-300,240,"205","2011-05-28",6086
7846,"Kevin Burns","Roan Carneiro",375,-500,"170","2008-06-07",6782
6213,"Beneil Dariush","Charlie Brenneman",160,-200,"155","2014-01-15",5123
1894,"Alexander Volkov","Marcin Tybura",-300,245,"265","2021-10-30",1295
2628,"Jordan Espinosa","Mark De La Rosa",-165,135,"135","2020-06-13",2062
3591,"Abdul Razak Alhassan","Niko Price",-115,-105,"170","2018-09-08",2900
4398,"Marcos Rogério de Lima","Jeremy Kimball",-140,120,"205","2017-01-28",3650
5325,"Thomas Almeida","Anthony Birchak",-435,350,"135","2015-11-07",4244
6136,"Justin Scoggins","Will Campuzano",-650,550,"125","2014-03-15",5046
7154,"Brian Stann","Jorge Santiago",-145,125,"185","2011-05-28",6090
7855,"Rousimar Palhares","Ivan Salaverry",108,-138,"185","2008-05-24",6791
6782,"Thiago Perpétuo","Leonardo Mafra",-130,105,"185","2012-06-23",5691
1933,"Chris Gutierrez","Felipe Colares",-250,200,"135","2021-10-09",1334
2637,"Neil Magny","Anthony Rocco Martin",-140,110,"170","2020-06-06",2071
3603,"Bryan Barberena","Jake Ellenberger",-430,340,"170","2018-08-25",2912
4410,"Walt Harris","Chase Sherman",-145,125,"265","2017-01-15",3662
5326,"Alex Oliveira","Piotr Hallmann",-275,230,"155","2015-11-07",4245
6146,"Igor Araújo","Danny Mitchell",-265,225,"170","2014-03-08",5056
7157,"Gleison Tibau","Rafaello Oliveira",-460,360,"155","2011-05-28",6093
7862,"Rich Franklin","Travis Lutter",-300,235,"185","2008-04-19",6798
7263,"Jonathan Brookins","Michael Johnson",-250,200,"155","2010-12-04",6199
1966,"Arman Tsarukyan","Christos Giagos",-850,575,"155","2021-09-18",1367
2648,"Billy Quarantillo","Spike Carlyle",-130,100,"150","2020-05-30",2082
3614,"Henry Cejudo","Demetrious Johnson",380,-500,"125","2018-08-04",2923
4424,"Mickey Gall","Sage Northcutt",-160,135,"170","2016-12-17",3676
5327,"Rashid Magomedov","Gilbert Burns",-200,165,"155","2015-11-07",4246
6160,"Stephen Thompson","Robert Whittaker",-135,105,"170","2014-02-22",5070
7168,"Ivan Menjivar","Charlie Valencia",-195,170,"135","2011-04-30",6104
7871,"Jonathan Goulet","Kuniyoshi Hironaka",198,-231,"170","2008-04-19",6807
7464,"Cain Velasquez","Antônio Rodrigo Nogueira",101,-112,"265","2010-02-20",6400
2005,"Brian Kelleher","Domingo Pilarte",-175,145,"135","2021-08-21",1406
2667,"Rodrigo Nascimento","Don'Tale Mayes",-130,100,"265","2020-05-16",2101
